STATION,DATE,PRCP,TAVG,TMAX,TMIN
USW00012918,12/22/1930,0.08,,47,36
USW00012918,12/23/1930,,,54,28
USW00012918,12/24/1930,,,56,32
USW00012918,12/25/1930,1.46,,58,51
USW00012918,12/26/1930,,,52,40
USW00012918,12/27/1930,0,,49,37
USW00012918,12/28/1930,0.01,,53,44
USW00012918,12/29/1930,,,54,31
USW00012918,12/30/1930,0,,48,43
USW00012918,12/31/1930,0,,46,40
USW00012918,1/1/1931,,,53,40
USW00012918,1/2/1931,,,60,40
USW00012918,1/3/1931,,,68,38
USW00012918,1/4/1931,0.01,,70,55
USW00012918,1/5/1931,,,58,45
USW00012918,1/6/1931,,,62,36
USW00012918,1/7/1931,,,72,45
USW00012918,1/8/1931,,,66,41
USW00012918,1/9/1931,,,55,45
USW00012918,1/10/1931,0.56,,51,44
USW00012918,1/11/1931,0.76,,51,46
USW00012918,1/12/1931,0.07,,56,44
USW00012918,1/13/1931,,,58,36
USW00012918,1/14/1931,,,51,33
USW00012918,1/15/1931,,,45,36
USW00012918,1/16/1931,0.15,,52,40
USW00012918,1/17/1931,1.26,,53,49
USW00012918,1/18/1931,,,54,47
USW00012918,1/19/1931,,,53,41
USW00012918,1/20/1931,,,56,40
USW00012918,1/21/1931,,,62,33
USW00012918,1/22/1931,,,65,38
USW00012918,1/23/1931,0,,67,47
USW00012918,1/24/1931,,,66,43
USW00012918,1/25/1931,0,,68,48
USW00012918,1/26/1931,,,69,49
USW00012918,1/27/1931,0.01,,65,52
USW00012918,1/28/1931,0,,68,57
USW00012918,1/29/1931,,,69,56
USW00012918,1/30/1931,,,72,52
USW00012918,1/31/1931,,,73,48
USW00012918,2/1/1931,0.4,,71,57
USW00012918,2/2/1931,0.76,,70,55
USW00012918,2/3/1931,0.05,,68,53
USW00012918,2/4/1931,,,70,48
USW00012918,2/5/1931,,,70,48
USW00012918,2/6/1931,,,70,50
USW00012918,2/7/1931,,,70,57
USW00012918,2/8/1931,0.01,,75,62
USW00012918,2/9/1931,,,68,50
USW00012918,2/10/1931,,,59,37
USW00012918,2/11/1931,,,62,36
USW00012918,2/12/1931,0,,67,48
USW00012918,2/13/1931,0.15,,72,62
USW00012918,2/14/1931,0.14,,61,50
USW00012918,2/15/1931,0.08,,54,44
USW00012918,2/16/1931,0.68,,65,43
USW00012918,2/17/1931,,,73,50
USW00012918,2/18/1931,,,66,48
USW00012918,2/19/1931,,,70,46
USW00012918,2/20/1931,,,72,47
USW00012918,2/21/1931,,,70,50
USW00012918,2/22/1931,1.81,,68,55
USW00012918,2/23/1931,0.42,,62,55
USW00012918,2/24/1931,0,,58,50
USW00012918,2/25/1931,,,60,43
USW00012918,2/26/1931,,,62,46
USW00012918,2/27/1931,0.68,,57,51
USW00012918,2/28/1931,0.08,,67,53
USW00012918,3/1/1931,0.28,,60,53
USW00012918,3/2/1931,0,,54,37
USW00012918,3/3/1931,,,61,32
USW00012918,3/4/1931,,,60,35
USW00012918,3/5/1931,,,69,41
USW00012918,3/6/1931,0,,68,56
USW00012918,3/7/1931,,,63,36
USW00012918,3/8/1931,,,55,31
USW00012918,3/9/1931,,,56,28
USW00012918,3/10/1931,,,62,36
USW00012918,3/11/1931,,,74,45
USW00012918,3/12/1931,,,73,42
USW00012918,3/13/1931,,,69,54
USW00012918,3/14/1931,0,,75,56
USW00012918,3/15/1931,0.65,,69,51
USW00012918,3/16/1931,0.01,,63,49
USW00012918,3/17/1931,,,66,43
USW00012918,3/18/1931,,,72,44
USW00012918,3/19/1931,,,74,54
USW00012918,3/20/1931,0.52,,70,61
USW00012918,3/21/1931,,,63,48
USW00012918,3/22/1931,,,70,42
USW00012918,3/23/1931,,,75,52
USW00012918,3/24/1931,,,74,61
USW00012918,3/25/1931,,,68,52
USW00012918,3/26/1931,0.1,,74,54
USW00012918,3/27/1931,,,68,48
USW00012918,3/28/1931,,,56,33
USW00012918,3/29/1931,,,61,35
USW00012918,3/30/1931,0.32,,56,45
USW00012918,3/31/1931,,,53,45
USW00012918,4/1/1931,,,66,35
USW00012918,4/2/1931,,,77,58
USW00012918,4/3/1931,0,,73,65
USW00012918,4/4/1931,,,71,56
USW00012918,4/5/1931,,,65,44
USW00012918,4/6/1931,,,71,41
USW00012918,4/7/1931,,,71,43
USW00012918,4/8/1931,,,70,50
USW00012918,4/9/1931,0,,74,56
USW00012918,4/10/1931,0.15,,70,50
USW00012918,4/11/1931,,,74,52
USW00012918,4/12/1931,,,74,50
USW00012918,4/13/1931,,,70,51
USW00012918,4/14/1931,0,,75,61
USW00012918,4/15/1931,,,73,60
USW00012918,4/16/1931,,,78,54
USW00012918,4/17/1931,,,82,55
USW00012918,4/18/1931,0,,79,52
USW00012918,4/19/1931,0.17,,73,58
USW00012918,4/20/1931,,,78,59
USW00012918,4/21/1931,,,70,52
USW00012918,4/22/1931,,,65,38
USW00012918,4/23/1931,0,,67,45
USW00012918,4/24/1931,0,,69,56
USW00012918,4/25/1931,,,79,57
USW00012918,4/26/1931,0,,75,65
USW00012918,4/27/1931,0.2,,74,59
USW00012918,4/28/1931,,,74,55
USW00012918,4/29/1931,0,,72,63
USW00012918,4/30/1931,0.97,,72,60
USW00012918,5/1/1931,0,,73,62
USW00012918,5/2/1931,,,81,56
USW00012918,5/3/1931,,,82,61
USW00012918,5/4/1931,,,84,58
USW00012918,5/5/1931,0.19,,79,61
USW00012918,5/6/1931,,,81,60
USW00012918,5/7/1931,,,74,52
USW00012918,5/8/1931,0,,79,58
USW00012918,5/9/1931,0,,76,65
USW00012918,5/10/1931,,,80,52
USW00012918,5/11/1931,,,76,56
USW00012918,5/12/1931,,,74,50
USW00012918,5/13/1931,,,79,51
USW00012918,5/14/1931,,,84,59
USW00012918,5/15/1931,,,82,57
USW00012918,5/16/1931,,,81,55
USW00012918,5/17/1931,,,80,54
USW00012918,5/18/1931,0.12,,74,62
USW00012918,5/19/1931,0.06,,82,68
USW00012918,5/20/1931,0.01,,78,63
USW00012918,5/21/1931,,,77,58
USW00012918,5/22/1931,0.12,,81,65
USW00012918,5/23/1931,,,78,63
USW00012918,5/24/1931,,,80,62
USW00012918,5/25/1931,,,82,57
USW00012918,5/26/1931,,,81,64
USW00012918,5/27/1931,,,83,65
USW00012918,5/28/1931,,,83,64
USW00012918,5/29/1931,,,83,67
USW00012918,5/30/1931,0.02,,80,69
USW00012918,5/31/1931,0,,82,65
USW00012918,6/1/1931,,,84,62
USW00012918,6/2/1931,,,83,60
USW00012918,6/3/1931,,,85,62
USW00012918,6/4/1931,,,85,63
USW00012918,6/5/1931,,,87,69
USW00012918,6/6/1931,,,87,62
USW00012918,6/7/1931,,,91,66
USW00012918,6/8/1931,,,87,72
USW00012918,6/9/1931,,,87,71
USW00012918,6/10/1931,,,86,72
USW00012918,6/11/1931,,,91,74
USW00012918,6/12/1931,,,91,70
USW00012918,6/13/1931,,,93,70
USW00012918,6/14/1931,,,90,67
USW00012918,6/15/1931,,,95,69
USW00012918,6/16/1931,,,95,68
USW00012918,6/17/1931,,,91,72
USW00012918,6/18/1931,,,91,69
USW00012918,6/19/1931,,,90,68
USW00012918,6/20/1931,,,91,70
USW00012918,6/21/1931,,,92,71
USW00012918,6/22/1931,,,91,70
USW00012918,6/23/1931,0.05,,88,71
USW00012918,6/24/1931,0.02,,91,72
USW00012918,6/25/1931,,,93,71
USW00012918,6/26/1931,0.93,,92,67
USW00012918,6/27/1931,0.03,,89,73
USW00012918,6/28/1931,,,90,73
USW00012918,6/29/1931,0.09,,89,74
USW00012918,6/30/1931,,,92,72
USW00012918,7/1/1931,,,95,72
USW00012918,7/2/1931,,,96,74
USW00012918,7/3/1931,,,96,70
USW00012918,7/4/1931,,,96,70
USW00012918,7/5/1931,,,95,71
USW00012918,7/6/1931,,,92,69
USW00012918,7/7/1931,0,,96,76
USW00012918,7/8/1931,0.02,,95,76
USW00012918,7/9/1931,,,97,74
USW00012918,7/10/1931,,,98,78
USW00012918,7/11/1931,,,99,74
USW00012918,7/12/1931,,,94,74
USW00012918,7/13/1931,,,92,74
USW00012918,7/14/1931,,,94,73
USW00012918,7/15/1931,1.15,,94,72
USW00012918,7/16/1931,0,,88,73
USW00012918,7/17/1931,0.53,,83,74
USW00012918,7/18/1931,0.43,,84,73
USW00012918,7/19/1931,,,91,72
USW00012918,7/20/1931,0.38,,88,73
USW00012918,7/21/1931,,,91,72
USW00012918,7/22/1931,,,92,71
USW00012918,7/23/1931,,,92,72
USW00012918,7/24/1931,,,94,69
USW00012918,7/25/1931,,,93,68
USW00012918,7/26/1931,,,93,70
USW00012918,7/27/1931,,,97,68
USW00012918,7/28/1931,,,94,72
USW00012918,7/29/1931,0,,91,74
USW00012918,7/30/1931,0.64,,88,72
USW00012918,7/31/1931,,,90,73
USW00012918,8/1/1931,0,,92,76
USW00012918,8/2/1931,0,,88,73
USW00012918,8/3/1931,0.31,,94,73
USW00012918,8/4/1931,,,91,73
USW00012918,8/5/1931,,,93,74
USW00012918,8/6/1931,,,99,73
USW00012918,8/7/1931,0.08,,90,73
USW00012918,8/8/1931,,,93,73
USW00012918,8/9/1931,,,95,71
USW00012918,8/10/1931,,,97,72
USW00012918,8/11/1931,0,,92,78
USW00012918,8/12/1931,,,91,62
USW00012918,8/13/1931,,,92,63
USW00012918,8/14/1931,,,90,67
USW00012918,8/15/1931,,,90,66
USW00012918,8/16/1931,,,90,65
USW00012918,8/17/1931,,,89,70
USW00012918,8/18/1931,,,86,74
USW00012918,8/19/1931,0.61,,87,70
USW00012918,8/20/1931,0.34,,85,70
USW00012918,8/21/1931,0.43,,94,65
USW00012918,8/22/1931,0.02,,87,66
USW00012918,8/23/1931,,,86,72
USW00012918,8/24/1931,,,85,63
USW00012918,8/25/1931,,,86,67
USW00012918,8/26/1931,0.13,,87,66
USW00012918,8/27/1931,,,90,70
USW00012918,8/28/1931,,,88,67
USW00012918,8/29/1931,,,93,67
USW00012918,8/30/1931,,,90,72
USW00012918,8/31/1931,,,86,70
USW00012918,9/1/1931,,,92,72
USW00012918,9/2/1931,,,93,71
USW00012918,9/3/1931,,,95,70
USW00012918,9/4/1931,,,94,71
USW00012918,9/5/1931,,,93,69
USW00012918,9/6/1931,,,91,69
USW00012918,9/7/1931,,,87,69
USW00012918,9/8/1931,,,94,70
USW00012918,9/9/1931,0,,98,71
USW00012918,9/10/1931,,,92,69
USW00012918,9/11/1931,,,89,69
USW00012918,9/12/1931,0.5,,88,72
USW00012918,9/13/1931,0,,91,71
USW00012918,9/14/1931,,,91,72
USW00012918,9/15/1931,,,91,74
USW00012918,9/16/1931,0.32,,90,73
USW00012918,9/17/1931,0.53,,89,73
USW00012918,9/18/1931,0,,84,72
USW00012918,9/19/1931,0.02,,86,70
USW00012918,9/20/1931,,,89,73
USW00012918,9/21/1931,0,,92,71
USW00012918,9/22/1931,0.06,,90,73
USW00012918,9/23/1931,,,91,74
USW00012918,9/24/1931,,,93,72
USW00012918,9/25/1931,,,92,70
USW00012918,9/26/1931,0,,96,70
USW00012918,9/27/1931,,,85,62
USW00012918,9/28/1931,,,82,59
USW00012918,9/29/1931,,,84,57
USW00012918,9/30/1931,,,85,59
USW00012918,10/1/1931,0,,89,60
USW00012918,10/2/1931,,,88,64
USW00012918,10/3/1931,,,84,68
USW00012918,10/4/1931,,,89,71
USW00012918,10/5/1931,0,,90,70
USW00012918,10/6/1931,0.05,,89,72
USW00012918,10/7/1931,,,91,71
USW00012918,10/8/1931,,,92,70
USW00012918,10/9/1931,,,91,71
USW00012918,10/10/1931,,,88,70
USW00012918,10/11/1931,,,90,70
USW00012918,10/12/1931,,,90,70
USW00012918,10/13/1931,,,87,67
USW00012918,10/14/1931,,,90,64
USW00012918,10/15/1931,0.1,,91,64
USW00012918,10/16/1931,0.51,,85,66
USW00012918,10/17/1931,,,84,55
USW00012918,10/18/1931,,,81,56
USW00012918,10/19/1931,,,80,55
USW00012918,10/20/1931,,,84,54
USW00012918,10/21/1931,,,86,62
USW00012918,10/22/1931,0.31,,87,67
USW00012918,10/23/1931,0.38,,79,65
USW00012918,10/24/1931,,,80,65
USW00012918,10/25/1931,,,86,65
USW00012918,10/26/1931,,,85,65
USW00012918,10/27/1931,,,88,64
USW00012918,10/28/1931,,,85,68
USW00012918,10/29/1931,,,79,51
USW00012918,10/30/1931,,,72,51
USW00012918,10/31/1931,,,73,45
USW00012918,11/1/1931,,,69,43
USW00012918,11/2/1931,,,75,49
USW00012918,11/3/1931,,,80,52
USW00012918,11/4/1931,,,83,56
USW00012918,11/5/1931,,,85,54
USW00012918,11/6/1931,,,83,57
USW00012918,11/7/1931,,,80,58
USW00012918,11/8/1931,,,80,55
USW00012918,11/9/1931,0,,81,60
USW00012918,11/10/1931,0,,83,62
USW00012918,11/11/1931,0,,82,66
USW00012918,11/12/1931,0,,83,64
USW00012918,11/13/1931,0.14,,83,65
USW00012918,11/14/1931,0.21,,80,66
USW00012918,11/15/1931,0,,82,62
USW00012918,11/16/1931,,,81,63
USW00012918,11/17/1931,0.09,,79,63
USW00012918,11/18/1931,,,82,48
USW00012918,11/19/1931,0.54,,79,46
USW00012918,11/20/1931,0.84,,75,49
USW00012918,11/21/1931,0,,81,46
USW00012918,11/22/1931,0.04,,81,69
USW00012918,11/23/1931,0,,81,65
USW00012918,11/24/1931,2.53,,74,55
USW00012918,11/25/1931,0,,59,51
USW00012918,11/26/1931,0.35,,58,48
USW00012918,11/27/1931,,,54,51
USW00012918,11/28/1931,,,64,51
USW00012918,11/29/1931,0,,79,61
USW00012918,11/30/1931,0.2,,66,54
USW00012918,12/1/1931,0.39,,54,52
USW00012918,12/2/1931,0.05,,53,44
USW00012918,12/3/1931,0,,52,42
USW00012918,12/4/1931,,,64,32
USW00012918,12/5/1931,,,65,48
USW00012918,12/6/1931,0.84,,61,49
USW00012918,12/7/1931,0.43,,49,45
USW00012918,12/8/1931,0.69,,50,45
USW00012918,12/9/1931,,,63,48
USW00012918,12/10/1931,0,,78,48
USW00012918,12/11/1931,0.48,,77,66
USW00012918,12/12/1931,0.01,,79,64
USW00012918,12/13/1931,0.68,,79,55
USW00012918,12/14/1931,,,55,42
USW00012918,12/15/1931,,,54,46
USW00012918,12/16/1931,0.1,,54,47
USW00012918,12/17/1931,0.12,,52,45
USW00012918,12/18/1931,1.31,,47,38
USW00012918,12/19/1931,0.04,,50,44
USW00012918,12/20/1931,0,,59,38
USW00012918,12/21/1931,,,71,39
USW00012918,12/22/1931,0,,80,52
USW00012918,12/23/1931,,,79,69
USW00012918,12/24/1931,0.09,,74,53
USW00012918,12/25/1931,,,70,48
USW00012918,12/26/1931,,,66,42
USW00012918,12/27/1931,,,74,53
USW00012918,12/28/1931,0,,74,46
USW00012918,12/29/1931,0,,77,53
USW00012918,12/30/1931,0,,75,59
USW00012918,12/31/1931,,,62,38
USW00012918,1/1/1932,,,60,38
USW00012918,1/2/1932,,,61,40
USW00012918,1/3/1932,0.17,,60,50
USW00012918,1/4/1932,0,,73,54
USW00012918,1/5/1932,1,,72,55
USW00012918,1/6/1932,,,57,45
USW00012918,1/7/1932,0,,56,40
USW00012918,1/8/1932,,,54,37
USW00012918,1/9/1932,,,58,38
USW00012918,1/10/1932,,,65,35
USW00012918,1/11/1932,0.19,,70,53
USW00012918,1/12/1932,1.21,,68,52
USW00012918,1/13/1932,,,76,47
USW00012918,1/14/1932,0,,77,66
USW00012918,1/15/1932,0.02,,78,66
USW00012918,1/16/1932,,,76,66
USW00012918,1/17/1932,0.12,,69,58
USW00012918,1/18/1932,0,,62,53
USW00012918,1/19/1932,,,62,54
USW00012918,1/20/1932,,,73,50
USW00012918,1/21/1932,,,77,59
USW00012918,1/22/1932,0.95,,72,66
USW00012918,1/23/1932,0.23,,68,48
USW00012918,1/24/1932,0,,50,45
USW00012918,1/25/1932,0.31,,50,45
USW00012918,1/26/1932,0.26,,64,49
USW00012918,1/27/1932,,,67,48
USW00012918,1/28/1932,0,,77,57
USW00012918,1/29/1932,0.71,,71,45
USW00012918,1/30/1932,,,55,32
USW00012918,1/31/1932,,,58,37
USW00012918,3/1/1932,,,78,55
USW00012918,3/2/1932,0.3,,79,61
USW00012918,3/3/1932,0.41,,74,63
USW00012918,3/4/1932,,,76,54
USW00012918,3/5/1932,0,,67,41
USW00012918,3/6/1932,,,56,32
USW00012918,3/7/1932,0,,63,43
USW00012918,3/8/1932,0.01,,60,40
USW00012918,3/9/1932,,,41,27
USW00012918,3/10/1932,0.01,,37,28
USW00012918,3/11/1932,0.11,,39,29
USW00012918,3/12/1932,,,46,32
USW00012918,3/13/1932,,,50,25
USW00012918,3/14/1932,,,68,29
USW00012918,3/15/1932,,,73,38
USW00012918,3/16/1932,0,,74,57
USW00012918,3/17/1932,,,74,62
USW00012918,3/18/1932,,,76,48
USW00012918,3/19/1932,,,82,48
USW00012918,3/20/1932,,,80,54
USW00012918,3/21/1932,0,,84,65
USW00012918,3/22/1932,,,71,41
USW00012918,3/23/1932,,,67,46
USW00012918,3/24/1932,,,71,39
USW00012918,3/25/1932,,,78,49
USW00012918,3/26/1932,0,,78,57
USW00012918,3/27/1932,,,70,57
USW00012918,3/28/1932,,,71,43
USW00012918,3/29/1932,0,,72,47
USW00012918,3/30/1932,0,,79,65
USW00012918,3/31/1932,0.09,,73,51
USW00012918,4/1/1932,,,76,45
USW00012918,4/2/1932,,,75,40
USW00012918,4/3/1932,,,77,46
USW00012918,4/4/1932,,,78,57
USW00012918,4/5/1932,,,80,57
USW00012918,4/6/1932,,,81,61
USW00012918,4/7/1932,0.22,,78,66
USW00012918,4/8/1932,,,76,44
USW00012918,4/9/1932,,,71,49
USW00012918,4/10/1932,,,70,55
USW00012918,4/11/1932,,,68,42
USW00012918,4/12/1932,,,77,40
USW00012918,4/13/1932,,,80,47
USW00012918,4/14/1932,,,84,49
USW00012918,4/15/1932,,,76,52
USW00012918,4/16/1932,,,78,55
USW00012918,4/17/1932,,,82,48
USW00012918,4/18/1932,,,83,59
USW00012918,4/19/1932,,,83,59
USW00012918,4/20/1932,,,83,59
USW00012918,4/21/1932,,,82,64
USW00012918,4/22/1932,0.08,,76,70
USW00012918,4/23/1932,0,,79,68
USW00012918,4/24/1932,,,83,69
USW00012918,4/25/1932,,,92,70
USW00012918,4/26/1932,,,86,64
USW00012918,4/27/1932,,,70,63
USW00012918,4/28/1932,0.58,,73,59
USW00012918,4/29/1932,1.52,,73,67
USW00012918,4/30/1932,,,83,63
USW00012918,5/1/1932,,,87,61
USW00012918,5/2/1932,,,82,63
USW00012918,5/3/1932,,,80,56
USW00012918,5/4/1932,,,78,57
USW00012918,5/5/1932,,,82,62
USW00012918,5/6/1932,0,,79,68
USW00012918,5/7/1932,,,82,71
USW00012918,5/8/1932,0,,83,64
USW00012918,5/9/1932,,,89,68
USW00012918,5/10/1932,0.01,,83,69
USW00012918,5/11/1932,0,,80,63
USW00012918,5/12/1932,,,84,60
USW00012918,5/13/1932,,,86,60
USW00012918,5/14/1932,,,84,60
USW00012918,5/15/1932,0.14,,80,61
USW00012918,5/16/1932,0.25,,78,62
USW00012918,5/17/1932,0,,82,67
USW00012918,5/18/1932,,,84,58
USW00012918,5/19/1932,,,84,57
USW00012918,5/20/1932,,,84,57
USW00012918,5/21/1932,,,86,62
USW00012918,5/22/1932,0.13,,88,63
USW00012918,5/23/1932,,,88,61
USW00012918,5/24/1932,1.11,,87,64
USW00012918,5/25/1932,0,,86,68
USW00012918,5/26/1932,0,,89,67
USW00012918,5/27/1932,,,88,67
USW00012918,5/28/1932,0,,88,74
USW00012918,5/29/1932,0,,86,69
USW00012918,5/30/1932,,,87,62
USW00012918,5/31/1932,,,86,67
USW00012918,6/1/1932,,,85,68
USW00012918,6/2/1932,0,,83,67
USW00012918,6/3/1932,0.03,,85,71
USW00012918,6/4/1932,0,,86,70
USW00012918,6/5/1932,,,87,64
USW00012918,6/6/1932,,,88,65
USW00012918,6/7/1932,,,91,65
USW00012918,6/8/1932,,,92,66
USW00012918,6/9/1932,0.07,,92,68
USW00012918,6/10/1932,0.3,,86,71
USW00012918,6/11/1932,0,,92,66
USW00012918,6/12/1932,0.12,,90,64
USW00012918,6/13/1932,,,95,67
USW00012918,6/14/1932,,,94,71
USW00012918,6/15/1932,,,93,70
USW00012918,6/16/1932,,,90,69
USW00012918,6/17/1932,,,91,77
USW00012918,6/18/1932,,,92,76
USW00012918,6/19/1932,,,92,70
USW00012918,6/20/1932,,,92,70
USW00012918,6/21/1932,,,90,70
USW00012918,6/22/1932,,,90,71
USW00012918,6/23/1932,0,,93,74
USW00012918,6/24/1932,0.3,,88,75
USW00012918,6/25/1932,0.51,,86,75
USW00012918,6/26/1932,,,90,75
USW00012918,6/27/1932,,,91,74
USW00012918,6/28/1932,,,93,72
USW00012918,6/29/1932,,,91,73
USW00012918,6/30/1932,0.23,,91,72
USW00012918,7/1/1932,0,,91,74
USW00012918,7/2/1932,0.42,,89,73
USW00012918,7/3/1932,0,,91,75
USW00012918,7/4/1932,0.01,,90,76
USW00012918,7/5/1932,,,92,74
USW00012918,7/6/1932,0,,92,76
USW00012918,7/7/1932,,,96,72
USW00012918,7/8/1932,,,97,71
USW00012918,7/9/1932,,,93,72
USW00012918,7/10/1932,,,93,69
USW00012918,7/11/1932,0.96,,90,73
USW00012918,7/12/1932,,,93,74
USW00012918,7/13/1932,,,95,70
USW00012918,7/14/1932,,,95,73
USW00012918,7/15/1932,,,98,69
USW00012918,7/16/1932,,,103,73
USW00012918,7/17/1932,,,104,76
USW00012918,7/18/1932,,,97,72
USW00012918,7/19/1932,0.12,,87,74
USW00012918,7/20/1932,0,,91,74
USW00012918,7/21/1932,0,,92,74
USW00012918,7/22/1932,0.03,,90,71
USW00012918,7/23/1932,0.53,,93,71
USW00012918,7/24/1932,0,,92,72
USW00012918,7/25/1932,0.42,,90,73
USW00012918,7/26/1932,,,93,72
USW00012918,7/27/1932,,,98,71
USW00012918,7/28/1932,,,96,71
USW00012918,7/29/1932,,,99,73
USW00012918,7/30/1932,,,99,73
