Specimen	Correct	JL1	JL2	JL3	MK1	MK2	MK3	SF1	SF2	SF3
57	2.00	1.00	2.00	2.00	2.00	2.00	2.00	1.00	1.00	1.00
58	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00
59	2.00	2.00	1.00	2.00	2.00	2.00	1.00	2.00	2.00	2.00
60	2.00	2.00	1.00	2.00	2.00	1.00	2.00	2.00	1.00	2.00
61	2.00	1.00	2.00	2.00	2.00	2.00	2.00	1.00	1.00	1.00
62	2.00	1.00	2.00	2.00	2.00	2.00	2.00	1.00	1.00	1.00
63	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00
64	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00
65	2.00	1.00	2.00	2.00	2.00	2.00	2.00	1.00	1.00	1.00
66	2.00	1.00	2.00	2.00	2.00	2.00	2.00	1.00	1.00	1.00
67	2.00	1.00	2.00	2.00	2.00	2.00	2.00	1.00	1.00	1.00
68	2.00	1.00	2.00	2.00	2.00	2.00	2.00	1.00	1.00	1.00
69	2.00	1.00	2.00	2.00	1.00	2.00	2.00	1.00	1.00	1.00
70	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00
71	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00
72	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00
73	2.00	1.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00
74	2.00	1.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00
75	2.00	1.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00
76	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00
77	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00
78	2.00	2.00	1.00	2.00	2.00	1.00	2.00	1.00	1.00	1.00
79	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00
80	2.00	1.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00
81	2.00	1.00	2.00	2.00	2.00	2.00	2.00	1.00	1.00	1.00
82	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00
83	2.00	1.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00
84	2.00	2.00	2.00	2.00	2.00	2.00	2.00	1.00	1.00	1.00
85	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00
86	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00
87	2.00	1.00	2.00	2.00	2.00	2.00	2.00	1.00	1.00	1.00
88	2.00	1.00	2.00	2.00	2.00	2.00	2.00	1.00	1.00	1.00
89	2.00	2.00	1.00	2.00	2.00	1.00	2.00	2.00	2.00	2.00
90	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00
91	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00
92	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00
93	2.00	1.00	2.00	2.00	1.00	2.00	2.00	1.00	1.00	1.00
94	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00
95	2.00	1.00	2.00	2.00	2.00	2.00	1.00	1.00	1.00	1.00
96	2.00	1.00	2.00	2.00	2.00	2.00	2.00	1.00	1.00	1.00
97	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00
98	2.00	2.00	1.00	2.00	2.00	1.00	2.00	2.00	2.00	2.00
99	2.00	1.00	2.00	2.00	2.00	2.00	2.00	1.00	1.00	1.00
100	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00	2.00
