Part	Operator	Repetition	Value
13	2	7	14.024
14	2	7	14.4642
15	2	7	14.3346
16	2	7	13.8858
17	2	7	14.2776
18	2	7	14.2262
19	2	7	14.2185
20	2	7	14.2488
21	2	7	14.3646
22	2	7	14.4237
23	2	7	14.6845
24	2	7	14.2582
25	2	7	14.3945
1	2	8	14.4643
2	2	8	14.3779
3	2	8	14.3485
4	2	8	14.6707
5	2	8	14.1752
6	2	8	14.2923
7	2	8	14.4404
8	2	8	14.1894
9	2	8	14.2702
10	2	8	13.7756
11	2	8	14.0951
12	2	8	14.1169
13	2	8	13.9388
14	2	8	14.567
15	2	8	14.0359
16	2	8	14.1626
17	2	8	14.0279
18	2	8	14.1241
19	2	8	14.1004
20	2	8	14.1786
21	2	8	14.5597
22	2	8	14.1397
23	2	8	14.2172
24	2	8	14.0977
25	2	8	14.0726
